N,E
58637,58133
message,signature,duration
55752,25018,547979
46326,21745,763205
46665,14430,762588
37304,33354,328704
28623,23666,546380
15537,25907,219134
15599,13275,545502
29380,2505,759819
58380,38460,1087669
9704,29591,761922
40877,48559,436955
31856,20235,545003
29053,36186,661625
52766,37249,325151
2677,30414,652718
48609,43323,436182
36465,46816,545131
41532,9839,436057
21,55477,217409
18136,55848,653060
9173,23714,871720
6447,56795,653720
5566,16826,766322
46001,14319,217337
38058,44421,545420
42254,50308,653311
36582,17302,654216
7422,32643,543772
971,27101,327265
4679,37784,434277
11955,35015,653629
30786,34056,650810
12913,14508,651359
51571,38201,544331
1247,49199,654393
25489,48578,539323
33149,54719,436204
19679,47330,217340
21171,24251,765286
18527,12415,873721
43144,29632,543038
52907,42402,874424
56995,479,762245
2204,24126,434197
8850,7275,766514
8992,22933,763192
32623,4514,656167
17432,46942,1195750
31447,52256,873271
17674,54591,871601
12739,7530,870572
23245,39588,654975
37204,17752,327234
15625,3997,545313
20726,29670,546587
21966,40875,545472
16533,8147,435927
15958,5666,545387
50280,44053,655389
20908,608,871665
38352,12613,762589
35899,30254,873796
9839,37883,653296
52269,29928,766069
24089,44355,326520
49368,46110,650553
32415,30023,873216
51253,12474,327295
58493,36222,653300
49006,4920,545771
6701,32449,653869
38326,27827,434704
7101,24808,542811
13890,50700,982176
23979,28812,542265
8645,27126,540946
10660,13263,220199
2842,50190,650867
48244,1984,327822
40111,9742,872621
42384,10114,653659
21748,37344,982027
18758,16016,872267
15339,7187,544970
23931,42244,983761
22221,8845,436999
24568,43052,435601
36209,36244,323420
5753,20862,656030
5000,32066,546711
6203,11370,654851
11827,51939,655450
27400,602,872142
6308,13782,438269
4250,55209,220803
28282,19239,547412
27521,21790,654621
10243,24907,327643
47929,19573,546366
38011,22465,437451
53852,47648,326013
33365,15527,872813
2382,55851,547049
28795,45732,544793
5335,42139,652962
10041,7870,433252
1140,46833,326367
51611,27515,219348
10527,30915,759839
39148,20486,650978
42122,15054,871552
53031,50027,434744
9424,42079,868187
24144,54946,763925
23922,43480,544978
11878,33532,654096
26572,18570,543959
25973,15808,982494
36080,52246,653685
13949,7793,326368
58147,45227,764159
19711,38079,544223
43475,24474,545048
28115,54314,872263
12628,27859,545966
41063,17454,543103
56165,57910,544247
54873,52176,546881
39117,9671,544972
5601,37499,1087706
33544,23855,326039
26906,56973,759408
19062,5660,545367
57141,36868,763050
10057,28528,436527
14406,54672,763805
57144,26798,545946
25988,26267,437674
50237,3419,542705
19619,53457,436518
14258,45061,541206
51922,949,871118
26549,56918,435463
7665,41965,657148
20976,2696,763153
19610,7163,653093
31649,48947,542824
20776,10812,764011
42051,33084,763639
29481,45091,982627
13481,2158,438154
7380,2458,434119
41319,48800,762269
30765,7779,760867
41314,7559,652383
23180,24091,329889
4353,42239,654637
52780,11859,871552
14450,18023,762866
56431,27377,655028
46186,16510,434639
42107,45487,108977
36423,45921,542473
13445,46039,762697
45817,19057,545668
35480,13453,437944
15041,52133,329853
46246,40259,544353
40525,54954,219730
31209,26405,762706
19503,3716,543917
8687,14463,436943
10521,7237,544477
9965,33562,544495
42507,6239,435808
12982,20093,655471
3104,50243,434843
19132,39733,871614
4903,29510,436023
32633,31348,652493
26617,14785,545553
13087,35006,436188
57151,49230,437958
37119,17058,652725
41845,50021,437276
5284,15454,544260
53210,1411,654403
14443,42810,327011
477,1685,543535
23145,12775,546204
11990,37743,434799
13966,56388,327629
41243,51880,437013
52147,40282,433984
49037,12411,873692
51341,45770,543847
49199,456,325087
58153,12068,437098
47803,3162,763900
31825,20226,218583
52923,18506,761987
46604,573,543981
35327,23825,547357
39535,24712,872993
47294,15156,326304
40206,30212,544969
30057,34730,545129
56175,13648,436906
44586,50957,764861
44995,32424,764321
6620,37950,875411
19813,39581,327824
32083,20407,544148
49073,52386,544980
25276,6511,868564
33848,39357,434398
4679,37784,436110
19551,42809,219407
31868,43246,325991
41776,44015,545549
7159,10261,546328
38299,32523,433539
8375,47257,761639
58220,23817,761258
53546,18267,327742
45080,19845,652655
34108,37199,438719
27384,21315,870630
31195,49341,545185
27776,55818,437882
31072,21287,761957
34581,50526,433311
7997,10560,762791
14320,36833,436890
13793,51390,763133
19234,15522,1089020
57948,45084,767351
38405,3577,546138
10129,45993,652757
24354,4395,435992
28768,13396,545212
44468,45018,872053
15356,24113,436692
202,57719,543858
52371,56168,658345
31185,7036,324741
26652,51630,654254
56930,11942,218414
31191,30670,872976
38744,15551,549187
83,19824,656717
12661,20592,652805
12307,26700,764181
48574,4146,437762
34207,23120,547534
49244,50446,650307
50495,40033,768053
5416,20133,437547
51060,51092,546949
25519,45641,652374
33166,46144,326920
21140,4670,545780
18468,54697,978329
3295,45277,764451
42830,47476,215117
53251,4896,545784
42003,13545,434806
34918,32221,760492
29577,56178,763598
51772,15699,547771
54278,7236,657529
18618,48806,653587
8637,23254,661633
14131,57064,436515
24054,28168,762805
26919,23775,655040
11698,53412,654341
55732,19319,435349
17613,46042,329141
43010,10945,656388
17110,38830,544533
57082,43148,545056
38371,46792,652291
88,57240,433481
5016,52720,325489
5447,35770,982687
11050,51212,544296
56081,58090,544926
47210,47123,653451
46465,34922,654242
44941,13594,874416
53153,39692,652753
35214,17158,328194
10967,32604,652446
36257,17244,649984
57705,48939,435885
43291,51448,433303
770,45229,877662
57435,24033,439809
55592,33653,873810
52506,39258,653872
31565,9554,871116
48805,43829,326053
34080,46947,763834
42132,14972,326070
44654,15690,761294
22421,23426,980514
5493,24913,651872
22203,12156,435966
905,57296,435541
7304,41173,437588
4269,28283,652583
35533,38533,652867
52167,1868,543142
30890,2514,328161
20721,42528,871571
8001,39068,438308
34157,12601,437408
34926,18700,326432
55400,17483,327200
50783,7215,545889
12726,26435,437765
38981,52732,655488
1278,55652,543352
15700,46292,651666
56317,28483,652097
39699,36370,761256
6193,6540,761130
23723,21958,433503
31590,46612,764238
9788,58378,546227
37664,6890,435389
37736,33273,654650
54838,36759,435008
28459,47941,325840
41916,46824,656402
31657,3329,544698
5407,11580,544816
33344,50569,326014
16244,31630,547801
30531,10394,544572
47098,35982,657731
30758,38915,872022
17862,11322,652321
37594,15334,544089
53338,1828,655083
40754,55886,653364
20035,29793,435069
32394,16188,326946
20435,58519,436806
21258,54384,764459
38056,19032,328283
24746,24955,762387
12510,15055,1088491
57018,46503,545561
46202,47747,762871
30314,6912,545354
57883,35628,435800
24334,32758,545278
611,43618,653861
48356,3575,435568
52741,32224,656426
50157,22491,436459
26434,45123,435808
35157,42283,325405
52332,27959,325573
3323,40730,870719
44677,56520,435034
49632,52740,652667
36007,31759,218565
32336,17903,655019
15022,35702,327524
29685,3190,655606
46666,51633,547045
5684,15554,762865
2396,44474,761395
44916,35185,436781
42100,4527,762522
6527,1856,874890
54660,40661,547590
48594,24391,438827
21172,15169,545538
52091,21614,875554
39936,34778,763369
9061,45333,543926
39914,21362,438145
13123,6079,544758
50115,47915,764672
50151,47407,983322
41742,30913,436091
44968,20206,547846
50218,1133,545757
47285,33083,654543
13261,16005,544859
33430,38421,543744
