N,E
3733280207,1599924857
message,signature,duration
3605053654,1576842439,1088584
1157058304,3027763643,1416177
2566442209,2201897261,1198113
1468843327,2067472418,1093624
1136128759,1335148943,1413215
870187118,774273438,1202281
358857156,3118250628,1852304
203221606,1423838596,1414983
2108252382,1487328688,1853252
2501738761,2238903454,872515
1488290694,1470087608,655126
1419036786,567867763,1523583
668634752,2502382074,1529795
3664682291,1082604975,1309110
395496149,355176440,1307739
852822216,2909130650,1526939
930841233,3621377023,1741044
1213655871,628745988,1958986
559652738,2486278435,1087522
3572470714,3552202476,1310767
1786178242,1252212502,1310852
557597507,116136710,1421807
3362462420,2637706985,1743634
2867381164,829619821,1635647
750912313,2119124021,1198431
1951141149,3694100863,1307822
1641336807,763130184,1302251
2177122741,3615790092,1202383
3278363628,1328405437,1743488
2189430480,3292447906,1525690
2833126851,847515167,1201498
1495265032,2198923319,1092947
2331941836,1318220884,1524640
2845579742,2309890984,2171492
970432843,2709367665,1518525
369590885,2946384608,1634610
1531860949,1499625414,1089090
2496175246,729700800,1848123
3107261317,3421971828,1632112
431626374,2869118081,1636225
1554543301,3650718637,1523219
2093791671,35851704,1304340
1780426037,719460779,1524558
2455196820,3286957098,1413916
619020710,1193145556,1525690
1168844383,2743002659,1308862
437790403,234464411,1526793
953507709,2580748159,1742777
521141896,2132526378,1309119
2660360397,2819267309,983010
380809280,1462302635,1630275
3064868624,2482130707,436683
108958880,2262993453,1305945
1613762682,1649602770,1631984
1251661428,2296193825,874219
353834938,3134388637,1526289
1383978605,2259208499,1201479
1989852658,2573511377,1309717
3583413943,827935716,983046
2308574070,3516421001,1091722
1397520472,784698112,1959588
2062447658,2012474340,982829
3509108129,3116036816,1098042
2626869638,3006017843,976233
1257609103,3183254688,977519
3350084738,3302217693,1415772
2661191381,1542700710,869188
1028878831,360168676,1525007
256192575,283664831,1741177
1076441418,450679304,1741356
2285682855,1090757325,759825
3363139350,3453246935,1411941
3529906728,1126816145,1520022
1454302649,2262904417,1198940
2323039426,1139263421,1095085
2775885912,2968822716,981264
1555015448,429109134,1198639
492721813,747217692,1088559
2153551136,1379713144,1414013
3709062974,123147205,1638490
3560163904,26601984,1960979
929462201,82265949,874522
499496779,5597155,1320262
3610223747,232342259,1416285
352460757,130046671,1632503
3345415788,420938030,1196778
2412582752,3399354308,1195223
57980675,1842597062,1090977
2069313350,1635255262,983617
1587786053,2313376815,655140
790709582,3000663618,1534651
1505532842,3390501536,1524603
3189934158,420657127,1855982
1042710445,2870141587,1530295
1282100920,628074041,1846301
51109737,2137724899,1195726
765427844,1469103131,762141
2844491392,83321473,1088827
2639116397,1841792519,1090615
1746123188,993159236,1413555
928566711,2621431439,1870058
2906682226,961022404,1224137
35967444,733527140,890552
3616387876,1632968867,1640042
3158916513,3663460606,1304777
2907149870,3580463619,1196773
3716724275,836299527,1089257
3526988939,715958167,1086264
2604447842,722950492,1635717
612776019,3336904710,1532480
1765043256,3393104808,1412545
1877693938,3296659557,981045
560855748,658637128,869544
2465110884,2370773884,982437
2535781889,3618149233,1634027
1728973035,3155640842,1964535
3448341724,2825880533,978281
1926284253,3578177046,1637036
958062418,207594681,1416634
395691837,3346713367,1199694
978855013,1411108103,870578
2543743668,368386746,1090477
3709515535,42284288,762797
3430430074,372651766,1094859
2326532696,1505587580,1859153
2067899079,1647356614,1201720
2757126164,3426625079,1632922
489114758,1188370182,1418095
1319676352,1232506262,1199313
1291332124,3256042733,1523410
316778909,276229399,1958928
1126275759,2818142428,1637334
3574205508,3628380804,2072203
918959186,1084041589,1307847
946477169,2741398272,1632998
2683750793,633249466,1526743
2447931163,3670262783,1199962
2641265397,2362918354,1200192
316678225,234239826,1526190
3659003063,1917165751,1421069
3485502027,1966574917,1633635
3085835949,1584902626,1634341
3170141523,2415578109,1087465
3255905876,861849402,1305190
2617019794,2561984965,871829
3272568716,2564354584,1526235
1942382984,1601633369,1636387
29540180,3171512794,1309625
1382181375,1732029342,1089530
1604563345,2417119887,1309125
296177317,2764121235,1851151
906606414,2334779361,1528756
1705620701,3641364640,1637904
591573935,2650653602,1634030
1519509661,92356483,983372
2982630536,2830778712,1310706
2403288971,621510014,1526922
3579479252,203591830,2285488
2654802579,94299537,1636169
3649205083,1758459449,1741626
1756246951,3243227637,1853695
1003965709,617261070,1959299
3322208100,1385546480,1851377
1180492905,2514743179,1415566
2948723731,1623840691,1525717
2127263720,2676385978,1306099
2423528422,1339931049,1524860
1833620123,17422346,654264
3303577310,1840608972,1093564
257944758,2175985931,1418195
2283090816,1270952723,1201817
352564113,2169270125,1197141
2235129846,3276704042,1962595
2692456324,904738557,1414201
2250812401,56639459,1963177
2944163506,2050490188,772128
2392235047,3371948993,1206021
3129352637,2618207026,1522807
2476014240,1015786918,1307660
2362992549,1429685847,1311246
990462674,943540291,874400
140418042,497575981,1417826
493613341,614854866,1091429
1518518955,1310817224,653594
3063801812,169291651,1443824
1552751008,595010585,1003286
3478111580,1137040508,1321649
2205500873,2970403414,1090970
2444238841,540560250,1746000
1119626849,1280387702,1522393
3571707065,1571528494,1085099
773872589,2072036199,1526366
1014794759,374366513,1413508
1285923220,2833431338,1309153
744385553,496721040,1307196
1111464085,3109791439,1745469
723479092,2123541455,873858
1281864300,3103017335,1527740
2414592872,2759717805,983267
197428960,3369500221,1416125
3281387173,2121438052,1527432
332552685,1352233904,1851718
707371775,1105780470,1092697
3633666314,909744104,1095151
3526795270,1981621514,1090431
2523402062,1531395373,867685
2395730336,934646103,1194770
3666084092,3664648589,867088
3080495655,3018978958,871817
3672719772,1101364498,2181754
57828314,1400187980,1306837
2093192134,3527664909,1747189
2913672002,3524883438,1311906
3496964271,2750556865,1523250
269118637,1861732770,1306766
1868449653,2654351248,1089072
580402238,744531526,1093016
1256491257,2011549591,1528758
657900341,581586367,873743
3397605073,3376238462,763932
3069240462,2499079567,1638881
352789152,1048568435,1198218
1722535199,1594520884,1091614
360455680,1039487215,1309544
2737622358,89982910,1538055
2766694228,1268482027,1634505
3594146713,2999096259,1526964
424070490,3536345606,872058
473948400,609992444,1090523
954423805,392450937,1521133
926770742,1931292873,979737
3556697323,2375079676,1739086
1993314878,1660957216,869762
530595677,434709910,1086606
169564528,2815517899,545116
916622138,2047173320,1745569
1364843367,2136758448,1308919
1844758134,3723566863,1418501
1817355909,1954819898,1411456
563778234,1368903168,1961594
3146783899,153708019,1519137
2935044363,2467205752,1521836
2477453547,1608642501,1633221
3441979367,3700897206,1640842
2501266773,1708218456,1413338
1322328380,2921789905,1740934
1100750201,955982517,1089497
1306369003,3401494850,979500
2052132503,1950806906,1190663
2224508428,3096758108,1417330
1472126608,1168734562,764189
3567801282,2368992803,1092394
626859357,605737482,1421349
1452880389,394438918,1742878
1149369030,2268946415,1740892
2482007637,2606914533,2168283
2844328652,2549970038,980039
1466507141,2904488059,1853865
273813616,683496744,1852943
2382242197,1505344396,978264
2744197292,2670762717,1309993
196208838,3263216240,1198034
2109375171,3587735733,980935
2338233103,3100171573,1197993
1987455730,663859986,1524106
489352242,1308598864,1417017
1371553161,1019385312,1965422
3167410830,1886827344,975516
2927275702,2146686888,1197787
833575004,2673144340,1746191
596526975,3279958121,1305654
3614911081,3241862233,1633247
1706810746,1878241895,1632421
1914893678,2291980654,1524188
109864049,1475663395,982425
2906589820,2721523401,1531915
3461344748,372086846,1530415
3715317662,825300730,1416744
367391364,2379752650,1852287
274554737,1707401972,1094730
2365744316,1997740313,1966791
3240551470,527553269,1956576
2208373242,2117364523,1526974
2089178162,2114570787,1202745
1690667467,1898504372,1305984
1401929314,1944211986,1852834
2134510671,1393489881,982894
2703177773,18068872,1093083
1510516948,1025775910,1092432
1484865355,3495776143,1198697
888915201,152339660,980238
3023285884,1481952413,1415801
2143886795,231380584,1090802
569221452,3308235644,983647
3462964671,1252881227,1854112
3721801950,2346165873,1742844
1082494526,2013749278,1850806
3348095851,2003209203,1311286
1966778344,84621305,1310415
1418728584,3704402275,1855670
1064765038,2560622334,1198721
527416616,3675983996,1522463
2713633933,1938607834,1850381
2682977542,1283605190,2073236
2947366912,2826537900,1527187
3192041702,666359132,1200971
1531849360,2860361042,1526609
1928419684,2958704091,1849876
537068270,1978334249,1741728
379295796,2352300488,1632759
1365552815,2395330282,1305719
1365548722,1594781786,1520907
1231814889,838273069,980993
2199769066,2445840281,1857423
2794839949,3052578746,872268
3094807774,1659294515,980930
1552837678,918236097,1853625
1569426893,975922158,1090623
3218553628,1526228984,1412391
1006658796,949196286,1527434
1288018804,2366814666,1307843
693039302,2419413632,1305865
1361039699,2412863276,760177
580855791,503802011,1199428
3051245091,23720775,1197527
984786489,2600955367,1204711
946254276,1460575543,1088037
1563025197,3517941414,1419260
3692199742,649812419,1199165
1904462114,3492291781,1306062
1145009533,2590641887,1961048
477132456,1333058854,1199397
1086391039,2138271622,1523668
786672955,1181808072,874703
1801988632,1958519563,1308897
2253196068,2897129753,1638856
689159929,1404357645,1088502
1833766774,1706084317,872247
1916677322,2576341332,1091241
2412617328,341251566,1195927
688457094,2418991676,655866
137066235,448686766,1963623
1974395164,3623373857,1639299
2181115015,3373117075,1526396
491700102,2427278841,1306016
2792632052,3301140273,652456
3125044532,521462308,1740356
1237736117,658195470,1415544
2472157175,3508357392,1089970
2943650405,1748700564,869171
963066374,1719836611,1307663
2031219116,3576158761,1742905
3018196082,3475838257,1087806
2475382118,3145514404,1747119
1296009248,3709941986,872448
3124821518,2578191770,542671
572276018,2969356785,1858278
1151772426,1713732891,1200976
2014874683,1115927800,2179373
3101376529,1012951261,1736870
3101564990,259270466,1310830
327758588,1263167307,1307888
576911512,243976621,1525096
3704038387,783988897,761995
524820426,1571381661,1195284
2147744259,1836259133,1306390
1449904720,2364896484,1089532
1375151107,1620991581,1198765
2756012338,716039563,1090774
1965145252,415199569,1203691
2027348034,2884237039,1962490
427295520,1332050048,1308736
1636792020,302600690,1309066
145043284,3637347980,1089344
688999369,2303622185,1199246
3638270893,1844668931,1306215
2500162787,2513509949,1198159
274919307,3242499010,1304027
280970062,2704316537,1959771
2276653929,2650763454,1958999
1842571482,1918162719,1423090
1448881135,1031044548,1211013
3370405851,3042565508,1414262
2815035435,389812881,1200930
556360187,539073731,1526671
108669069,1456387681,1311495
247689770,2065150020,1088755
1630772061,3377423657,1413752
2872016147,1568475807,1849602
2115651697,2556430098,1745025
2482131812,655411572,1201854
1535012068,229456442,1744852
2470447390,1678555752,653973
1138172535,97245752,1521029
3007186508,2888524787,1413787
1724239096,3642895133,1199683
1938317365,2343851316,870883
1964690639,3230043103,1740520
82368249,136847212,1088398
613055104,2320724757,1089326
3633089708,2858427559,1321739
2643823256,3226745939,1198660
160337904,2384977239,1311935
1017862911,2373580203,1740946
3405829306,1167974778,875352
887173239,3059768857,1638277
3035407362,2798253628,978632
524690151,2934510391,1524478
2703199116,3396451082,1418380
711032092,1937289451,1743631
1228564900,31293250,1198784
738674572,2160327161,1090912
2023616170,1834500423,1422254
355526604,1950493208,1524784
3727867428,2958172513,1303134
1265545096,3223107397,1308019
3388738788,2490638245,1198179
455552526,2171669173,1851729
3358931624,2196963220,1084909
1666806749,2420134517,1091947
2432842907,794658061,1198014
1254031135,3093234457,1089837
2312104481,3684531429,1628490
640059373,634049801,1522257
1856872382,524725558,1419038
737592043,2675697619,1304094
1702082917,1657310536,762445
415959528,854598092,1092360
2312498286,2008793968,1087964
2066176558,2737812029,1196280
3708192436,2387587590,1092758
3607511599,190694321,1742724
3043320511,1749325439,1199227
1213724532,276770680,1418709
2631475700,1842338831,1408440
891709608,306291663,1848175
1373850827,397101974,873128
2432617284,3385917797,1744364
1767219730,3006559588,1522589
165244404,1304607877,763199
2208536652,3211140434,1306498
643134675,271042661,980838
160839810,710358462,872787
3710070292,1588355004,1633555
1899021483,3209618036,1736198
720435460,2328997224,1302859
1081889555,634367438,1088250
3102842563,1797579909,1090297
1803047106,1974986171,760935
780104495,1724669536,1091519
276886535,333785352,1198860
3714130770,1014712428,1748128
2134664736,353703825,1412668
3506090928,2265597548,1413210
111552470,3039058233,1201189
1538765317,3497707129,1309339
2490291860,3433724799,1415366
2064124127,2641332513,1633391
2289014247,1195852098,1419944
681001842,1249365710,1089236
2899507317,3303755723,1197157
3587069375,449787180,1311791
2531491194,2333680170,1629311
2614670666,2577109227,1302753
2283134268,231056194,983073
3318396437,2624267230,1739192
1394683778,3569932197,1856430
1252191535,2003006879,654422
1145627082,2164861004,1522112
2147185973,2376068884,1632856
3435960356,2115912361,1087334
2956860576,2063578303,1958246
900201006,1490513937,1095762
2665705988,3730646146,1635162
1070984078,3728550163,1197801
331920551,1352097023,1304417
1866894592,2480071054,1200115
2873115495,929853514,977186
2522871340,1393543080,1194514
1236886491,2067074569,1308648
928298611,1009510798,1087072
562195451,2621201065,2288194
2385374688,89117081,1198732
1309733836,2969875965,1414795
1865979915,897740888,1197743
3620512202,1647175030,867175
3219330333,1092572445,653033
3180370784,3302979410,1527663
3458656042,3718699777,1853673
3335189535,2629032176,1085964
215036586,2382611454,976420
2032920659,3578900544,1850546
2169986271,3334475089,1525200
239060887,1135050894,978772
3447124903,1172808782,1527002
2974991679,235939059,1202305
1929276581,331745921,1416077
1610036989,1088193978,1091120
2451630136,2285879551,1631490
3568646182,686927705,2069105
3544072713,2247116030,1092470
216135947,1735446079,1415754
1729658756,628991054,1199426
1402988706,433101276,1415915
2131974181,2793512387,1092297
1618711502,1359083321,1851999
2812641127,2090147939,1305504
1157584273,1115600419,870987
1133970199,3519135261,1858971
2877943078,211064255,1633970
1806123991,3256991131,1851437
2580248634,770876894,1851053
3092948424,1863370943,868754
1212807284,1688958112,1411955
745377877,501838769,1632931
587018032,893447543,1090356
589970381,2051712094,870628
2327782028,3027316994,2067281
2601939269,1310140887,1092273
1833149972,79668454,2181298
858523060,1086913902,2182547
3360921498,2252049552,1635312
3262086050,689542814,1306604
695119523,855931368,871422
2150302596,2889777564,1198917
2161272826,3206733518,1635895
1398278396,1093683760,1419948
3366022740,3117008001,1198385
162686938,116727459,1092210
2793111176,3498424098,1199002
553343092,1111695477,978667
3375469188,1705256062,1195041
460983851,2983279696,1637149
2986745442,114732354,1199580
3663657016,512398109,1308194
446305178,3270248761,983144
3141147567,1112578012,1192973
347342181,928263865,1306618
2175995363,3656722943,762438
1613867205,2260925156,1852082
2440339596,2118681455,2072710
191369758,3443204166,1526630
1635388696,77213731,765991
2800985310,2983869500,1418233
732650220,2248153333,1311201
979509015,1924643259,1198753
3182119534,3311537102,983773
3632142033,2505272973,870613
1640770416,2168781675,1091170
597196778,3267407425,1632769
3546492026,1015729964,978732
2050070127,1170447079,1090180
995739898,3063768464,1304794
3371261067,3376930028,1962735
162110186,3316878157,1091347
330900115,2807672853,874796
869056455,91380891,1418069
2313463252,3434451612,1089017
2167637903,1301850330,1090705
2233576628,1783583475,1854790
3529412204,598882638,1200827
807154708,503390462,1527666
1024417108,3293969943,1418583
351319154,1580773606,1634092
2096071234,219908353,2178179
3361466309,1609812273,1744415
1880788163,658524601,978922
1080271941,1835650736,1743675
938528722,360154664,1086915
1101181593,1598793274,1308177
59261957,1673343925,1528905
1748078885,2517333137,983608
2363828957,468638260,545781
3417278060,1438753277,1310725
294417789,2888448107,1418532
420125601,2717170543,1304281
358790008,2319661199,1636430
2642877239,2438588442,871467
2965889775,1301158002,1307109
1607860859,3244452470,1633823
3413922022,432062682,1850002
2110510812,1050803431,1635113
2169598422,1188409109,1309739
1863380618,1521075040,1741477
545803896,1629046458,1086922
1501536190,1814125796,1850931
3511251499,1702810432,1850178
2606787291,3076932329,2179836
1228865498,2881929621,1746572
441532675,298347694,1310314
1205219025,659558172,1200804
662577728,3676504328,1637400
2875263553,2905949048,1413745
1123521759,2017635668,1635044
2129797138,1475271610,1085576
3289081952,3394276882,978969
609121555,1837923999,1526747
3179566209,2463910483,1309061
1586567486,13457865,1961714
2502629163,2776217240,1525865
2514942986,2179780643,651633
3135573493,1943828562,1198313
3688237548,3463647133,2286652
2347880424,836644179,2072417
2079672457,2950449511,1419958
3652356151,1690814121,1745918
2524035705,3088255708,1632091
200624052,1673094779,1420976
298621199,1802232021,1520959
1646354396,2326453433,1417646
1928774146,3179581206,874344
619216948,3234698050,1521009
2025453417,2671741515,1202381
186823270,1511343513,1640245
3614894092,2620721942,1308656
1902303001,3197784907,1086399
638407904,3550854293,1196380
2306621191,2531704453,1309343
881607415,2960874168,1197671
511560209,3124214512,1092539
2629828169,1783347386,869340
1863770219,2553931932,1743861
397992916,629480538,1415978
215683200,3610359595,1741785
240154484,1471720139,979914
3330185082,3408037486,1085224
1442571497,3189462049,1308000
2724345405,148890002,761042
2564025404,230087476,1415456
3157612909,3527800142,1307558
3702585270,1741059102,1629901
651636972,412869621,1958734
3044519522,666234528,1307598
342939642,1993257951,1524432
2592564713,2779750143,1633557
468508130,1531330103,1417252
3380969888,3270611737,1303732
2093634768,1934457098,1853061
1783286598,3030011424,1744916
1666917357,3680214990,1200132
1919249091,3244960141,1417152
3551379931,210026102,1306285
563728326,578800707,764345
3689623330,848976626,1195235
3385976622,2765926300,1091642
2978333658,3287810966,1848841
811955555,398723355,1199558
733994893,3483617049,1631683
789325505,3368194862,1525822
300296800,130965647,1413597
15810772,1392726259,1086302
510101144,3123901732,1745664
3102196747,1963354803,1415460
604195877,1614183476,1741245
3492026020,2413403275,1745793
1048288427,489050681,1636104
1426606868,3251930707,1526210
1194591222,2859149717,1090622
2673676661,3521284340,1850713
59816330,2613557850,1632601
177891437,187178109,1526389
1132425390,2998447401,762822
1854828706,3020587781,1633486
1645465190,1525952860,1199148
1337031146,852719941,1198849
3372703085,2256498894,1309174
1366409848,2723566599,1855732
1906367218,2831271673,1416963
2150171738,580604816,1196263
1573772834,2724200184,1092130
1872449624,598257575,1195314
553024360,2687560107,871229
3584739097,3368970474,1635316
1867695074,1401140896,1091792
2056271313,2782000551,763017
3201083039,174529414,1197310
996511619,1014222903,1851344
768419111,110412143,1959821
1095753266,2895999920,1422389
667487155,2462114443,1094261
2909920995,951571393,1197705
1676840309,2958531530,1091706
2097433466,2302932479,1090245
3337410743,1604947715,1633058
799604562,2789578629,1302054
2315174972,1091564046,1526342
1087344134,2390292164,1531005
1533547556,519886989,868642
2519625459,1044317858,874629
3627492447,2882697304,1307142
1252525988,3600074656,1746678
1911438143,1062363033,1206610
721992490,2951112617,1961258
1097625766,3607230743,1637494
2956881650,638946626,1204747
1391343527,2288523699,1091589
3367929033,492750743,1528667
260234518,3229422208,1089536
1732287011,450575240,1850396
3154564371,2533420413,871787
1252667776,859205559,1524958
1955204736,563847044,1092105
508685548,3223112232,1414284
417668765,1119705596,1089132
106112536,367769129,1207575
2933807987,1319167580,1631020
1560516570,643117425,977995
1670260384,2064361270,975465
2570240458,1337442015,980221
864845374,1921442755,1306218
1126589133,390328555,1200635
3418909185,3467872375,1846744
3382635053,111519036,871659
2003757668,570850676,433317
1406449174,1526829501,1089098
759945349,1152591894,1745502
2985879378,1230845063,1744074
1326710398,3412032234,980511
391382509,124489035,1522914
1943588207,72049195,1742263
2308183564,1471867585,1745077
552808768,1585783399,1090873
1505853952,2971553502,1209723
2822957544,540355596,1748193
37737817,3566272105,1306555
244325248,1300961071,1307890
3198398727,105617421,1307348
3403721475,426230768,977418
3559827510,1019498384,765092
1605669230,3564778595,980567
1189099238,3496792950,1089123
3155988492,346209326,872757
1111096998,3718173411,1088820
1697930105,2071166398,1416788
3330271357,847675281,1312070
1980488880,1730109706,1524370
3537607533,1285751241,1309163
3420045623,3032084420,978664
616058551,696590180,1633583
46001016,3641253141,1853086
431722378,1354071827,1527353
1516066601,3565609893,1198916
1973995160,655298189,983859
2639755399,3539013843,1632803
2676126875,2981693280,1199485
145186609,267650232,1522866
1280794072,1455106835,874678
165496681,3604495871,1088432
3134137788,2237651289,1628363
1127973031,1039469142,982034
1583498372,592549780,873882
2720677257,1977703989,1418661
2801421188,2429542987,653878
1787577184,1417785833,1528621
525968420,2552351317,1850374
1210459675,942423210,980355
944285411,3687852101,1636451
2538408026,3293008451,1282375
2455311034,389611865,1311700
315495547,176606397,1308613
1580016104,1839200011,1746565
2018933123,2502543401,1530276
2461716399,3480879531,982031
2010089069,3698182082,2071121
2052497197,3622225051,756734
3729440854,350516276,1955119
2759798302,2027539274,1522041
267370302,3701365992,1415252
1579953039,677671507,870677
1349501465,909576445,766237
3493444851,1131261184,1635531
1595484049,1734437970,1741115
3511592022,3169823237,1856817
