N,E
3706898303,1482710611
message,signature,duration
1327341258,1045645125,1187461
2634646801,1668920464,545450
1091008892,1449214785,1639622
2950999609,204303508,1965258
1304082049,2786035590,1418989
1016460826,1929716897,1414934
366650070,2159890224,1526254
2696677865,1430691693,1196937
1911556786,880624911,1306955
3236618966,288779481,1745891
1276271248,3565889869,984262
528516353,2877088618,1741179
879436198,952085582,1199807
2362803551,1329651633,1523161
3695939625,304380525,1420057
321138243,1780462497,1517941
1582089571,69542312,982163
638052331,1681052751,1417845
965120020,2388720561,1635039
31652119,12861349,1742858
571985164,1145201529,2065839
2801722727,380570324,1745758
2281636247,158665045,758048
1581614236,3494746098,1083289
1496385976,545882128,868667
690566249,2019590200,1852119
2746357282,2577978000,1197976
1467906705,266987910,1524292
1449107060,3490224377,1309196
1836829177,2901624562,1305779
319250955,3428164336,1746238
1975597326,2945917884,1743369
3475484003,2295542808,762920
2978680847,3024724745,983600
3670586812,434940462,2182180
3449407208,214931708,1088584
1905553205,2515194173,2183022
2231390785,3089833639,2178306
1345476554,1861979801,2179708
3483156452,607313523,1962860
2293042290,2579751515,1199496
1312411407,1511481524,1419767
1564557975,2007669498,1310544
1169295000,2770774047,1199625
2985185487,1749572684,1964828
2391105663,423845395,1746545
3335505745,2132681053,1742452
1693136294,1013506729,1090702
77044558,459357673,2177445
3255986240,1847660693,2181443
1117770514,2986307346,1417273
39179205,1058589030,1197788
2859279378,916150370,1310918
3203156052,3157766610,1303349
396570704,1436592752,1631504
2215006308,3463302686,981231
3541287819,2678682066,1198392
1583299027,1229550551,1524788
1590549865,3398757218,1192278
3046747391,1115267695,1200651
3692654476,2680423988,1203512
2281060328,2197389228,760300
3422690309,619147525,981501
912299942,3594220714,1089586
1280003930,2535962094,1089434
3663582922,1009316479,1196673
1183278523,966760997,1200369
826601277,2856271882,1305251
1065900534,214427337,1963559
372925104,1799928628,869314
3360689449,686966972,1431235
3048784777,1529717453,660226
1121444089,3477454481,1967159
1396255235,3116894830,1528838
1889128731,307411400,1962512
3463771534,3166432739,1087795
320904219,2064196538,1419031
1786984676,612436475,1747321
1127220351,3647289712,1090289
364579030,371207848,1632405
2800326746,3490109121,2290652
1587349472,2300529780,981870
2862773002,649892819,1855039
2541095127,3061516483,2181220
1999226365,3371192148,980195
2892235890,2235774971,872970
920303543,2817016806,1201575
2742708104,2621535006,766700
44407433,650847079,1964580
1057622569,3574661631,1639877
618008943,3067528182,1635958
1706184812,2070549876,1639489
2685257213,3277616463,1747262
713839553,1630087008,1526922
1676538252,2517300224,985008
1111601091,3040575481,764742
667360338,547910453,1197426
3574560445,3321224150,1849743
2122178140,1434148621,980664
3241409755,2547658215,1420373
3595557117,1949193589,1200429
763546928,2859173368,1412055
2340326043,2146666177,1522544
390875119,948801897,1530563
2476154237,3616664819,1637868
995773900,920155565,1854970
2384006737,566012704,656815
2175648921,1666351832,1417619
2805837371,2862609598,1417714
1862641507,3571221474,873610
266297038,1860949611,1419602
1380967117,135611237,1307999
2867457011,2509723158,1308067
1037990864,2479588211,1415425
1351000432,3614811698,1527189
1842873150,2500127160,1091173
1142615440,2472479792,870275
2168463117,970895286,1417537
773940440,3196188712,762241
862224649,768263439,1087137
1004010998,3326612919,1855996
2374090565,2423284413,2184452
2400482799,1361336957,1198273
1099186582,2292759304,1091948
1253636405,101991381,2184069
1587338003,2807991008,2069982
1652975119,3656169142,1199841
1251421611,2693330509,1313116
2427703121,2156294764,1630500
1997144933,2268990042,1641184
751670890,3465494840,1857452
2719135404,2523495018,1420040
3253246474,3391557766,1418410
443989767,2106734587,1963734
3004142302,3401333373,764849
3043866768,3259645317,1636597
1738308288,2182421505,1202252
3421144334,2953460785,650940
3134270437,255758149,1745302
3023222324,3192780919,1854205
1303833331,2010120186,1201614
1007553777,1531352189,1850977
485323239,2083269595,1528656
1168314330,3308859079,873606
907452733,2868815647,981725
1224873860,2700768262,1308594
2200482671,24244277,981467
2309047879,3393382476,1089173
1144795347,1286978763,1201401
1729930714,597922157,986792
2471458941,3124075625,1417575
3462740039,3372777205,984390
344944252,366945013,1635944
945203535,2525886907,1742188
1698366359,1506791572,1197941
916747736,2948605052,1306897
2303567200,2848519772,1749161
3374498321,3541443662,1421313
2007073930,341996016,1419074
75904008,1880618299,1968373
337698639,1584657108,1306954
2970926153,3324665283,1637235
1505925455,2233037244,1311386
1372131582,1740766815,1311527
399619296,1572022776,1746772
2305186557,2191889494,1089058
584879845,2875246708,1091793
2765151015,19860643,1851445
3678883327,13259166,1969807
3639758580,1550085653,1965996
243476663,1562188375,981922
2733619128,1094677417,1642230
2896567439,573158125,1529431
678892663,2698682504,1308058
1166725145,1473624400,1858129
3297754879,1519803027,1745928
2083737189,583246138,1855819
