N,E
3839256683,548447537
message,signature,duration
3619914938,3349193810,1629941
669095348,335898036,980371
3458769128,3192876122,1413260
1189663414,2505213550,765645
1435347953,2310433963,1527019
1147320595,456779470,1415259
2352002030,1908889560,1197982
864705230,2239911737,1305635
1024730191,902481197,1199314
2680656920,1651013217,1745532
340706337,1106169526,1415356
3350123362,3428274690,1199903
195567635,2330450299,1197581
2703350737,2904796345,1526774
1449751318,883889850,980899
3469242992,3829875113,1092236
626499223,676413021,1639644
3460505715,336880939,1090163
3171720496,2546115539,1309040
808578810,1540381000,979589
213798947,725935888,1090262
2610124832,740166683,1417131
84775088,3803902498,1529103
3413098628,57548066,762351
1116621280,3503182295,1414213
559229813,3442164435,871848
2373687762,2935749450,1627616
67046196,3382056449,979238
2088923555,2095359425,1415253
2475214934,941526298,1304883
2335038119,1713525040,1417393
1524685996,3422733700,1743379
2967613501,142081364,1637915
3700615228,1405824536,1638566
2983431091,1260262553,1303457
2973535236,2733025023,1417956
3418573285,45739741,1742181
2270757201,2070901118,1636228
1763738433,1010821553,872344
2652767609,3399204042,981878
1689082354,2141041299,982929
1650586975,493006783,1420090
2933293267,1976704513,1527590
1375707385,3679990245,981439
1695887215,3016218472,1413189
1972147128,2005525213,1303303
1449223274,2846696076,1852420
798056597,1238853635,2179917
2925678348,3760875568,1091430
2132564251,3526776245,872145
1283173169,434909876,1197201
1635579258,1746198283,1743632
668584470,1569426047,1198337
97766830,1909433483,1524261
2734194624,366622729,1632594
3777767653,306506455,1526052
1092205077,3340788775,869131
190862872,3324805015,1526719
230878703,1664911405,1418419
3467699493,2605535219,1525664
1459587470,3782935769,979106
383504753,2880754623,1526357
3200315612,767510142,1196627
2317529679,1467503355,1088483
2195210454,3432219304,874824
2380065065,1743042524,1526128
1153932061,1229773075,1415086
70455102,1480801114,1307198
3343447891,3803621558,1199448
2341481227,3758770702,1416758
3056749968,499283518,1520468
274621861,152306331,765741
2299883000,1503296528,1639447
2150997260,987262124,869956
222818806,876163421,1308519
347038336,428988373,1745554
1510171276,3667775429,1524743
2429784686,1263711710,1416346
2054968494,2110702891,1311695
1508204892,2280183254,872258
748922707,3550110128,1091316
1915781692,3621190790,1629735
1120094175,998927761,1305094
39215540,3266818337,1309216
3766902824,3174150943,763901
657043644,1364768188,1306150
245117760,151580476,1525464
3649987146,497186377,1199341
356928204,3465750761,1417352
1793810691,3139895372,1742644
2957493144,2618956244,1412698
284894283,581723332,761096
2411695042,1446027780,1089119
1940475341,1987536286,1312770
1241099958,366681952,1200860
2358591077,2216545172,1201978
3246581264,2977761081,875026
1776523655,955770852,980361
401256000,2860790979,1415035
1537935524,1287133997,870807
57439414,3362381824,1193566
63794726,2176077524,1955669
1943077557,2988311435,1742370
673948121,549438404,1852509
1730002126,3440253230,1747219
252601207,945839680,1312144
1277044723,2359328341,1311683
2579462253,33535718,1200049
3063087539,3173028472,1307558
170432780,1406365257,1419151
1105056555,2565360980,1632468
3171439491,482207350,1739251
752159846,3285051023,1088636
645625266,316720862,1523637
2554185953,472857023,1415591
2641685831,2581149470,1637578
3463871293,3348262717,1309393
665182018,3367101929,1091038
3420424329,2423699681,1416685
2533898529,2915280808,1309364
3679542771,3471642232,1524299
1631303308,1065471159,1309608
2446202506,2243629462,1417437
838168396,225105924,1743980
97020058,792265520,1199877
3668243834,2536499286,1310757
2883822223,3517029749,1963370
3133111361,1715015463,979391
806524884,1271626060,1090236
1308290294,903755860,1086995
1657517280,1764997100,1310232
114963865,788658184,1524613
930018114,3731979053,1524417
459247418,2040635773,1199196
136737168,1154049514,1416996
3685400284,2282351771,980473
1871584706,3362525779,1522773
2617724852,2118629929,1419997
3582321325,3543257272,1959538
1638643665,1203549876,873280
2645513932,2714386505,764864
1894865924,2765194464,1092776
37472926,1356551851,1526068
1823539425,1156550590,1416422
2613668102,2049074787,1195398
2344809859,3150491378,1200801
75670653,3671220396,870596
2649361450,294215284,652836
1348382744,220921706,1632102
2220247164,2827514653,1852394
904848607,988636308,1743169
556807774,1454940430,1752582
1240003803,1895971009,1094558
898463487,564532477,874031
103092376,350007967,1090875
2723602686,3093336800,1856561
1861941144,426914130,1307814
1332200924,2762384213,1307852
2635993854,3264257312,1200712
3759978157,2408654186,871678
3147821335,202565482,1307641
2056654781,21156090,1090957
2194532593,2784599434,1198450
2365039530,875732221,1412831
3519621242,1038594598,1525307
937092570,3520366329,1308459
1529484484,3204122245,1304576
3437203804,1829853898,871462
2579391881,1694170137,979688
2584836391,2670464181,2072535
495284072,3424559304,1200826
2148286351,2944799088,1418418
199247415,1554928297,981828
3261501117,2225374163,981251
69389792,285460205,1522934
2144942855,914944269,1529172
2190474056,2395682800,1853302
307330633,2501357148,765736
976580008,1544202121,1087790
3242703102,2986689908,1090885
3717612887,1484272329,1418974
931236380,813008167,1413789
3547605112,3026495646,1097005
880172027,1266099698,1528299
1219419626,644424815,1546995
3017789883,2791476577,1527988
1977947996,513900849,1202954
676049221,2507193144,1204509
1567153524,2072103008,658270
3203646257,954032551,1087832
2440738959,31430222,1086228
947639324,233193601,1853124
352956910,2700014875,1200343
2647324113,3018602255,870797
1630497340,3739167818,981386
1026870120,3407819903,1420645
3196336682,2388498169,1415349
2874307899,370598774,1304651
2016636191,289392379,1523663
1752089801,3652635204,762613
3541542407,2780919227,1197237
500384773,2837882791,1088588
1296249941,1818948696,1534986
2223579146,3163909089,1090282
2284287486,2608421193,1419331
2931944212,2359437895,1092221
568401790,2315353531,1314710
1124889122,1377144320,1526816
1711345829,2815016924,1964780
1784483693,672849704,1852001
1431869597,2830506405,1197047
2667263668,1272553330,1308917
3087997750,2367076338,1417732
1538032446,1660820226,1306702
2132556703,1636283940,980838
1289351542,3519695774,1416458
2925891514,1775465340,979704
2221714135,3118472349,1303221
562381525,807411216,1740006
2122414948,806314107,657195
3076576257,2590160948,1199473
3364837491,2016267730,1201973
1325154065,729985084,1089558
2897897278,697342826,1310975
2343229912,1678664150,1771239
2706360822,2306240283,1659007
1541447375,120287402,1632204
1735511141,2775784909,1628028
3653467851,707545317,1631493
19801696,911770934,1085216
1990574801,200861931,1195755
3526929034,2632990337,1303754
2583361644,2343388627,1739065
1484330755,2839029857,987860
622874059,3250573090,1412101
684511462,1452936280,1201542
130380282,2251771346,1523143
3024383385,2344619215,1308086
1406522791,1298393506,1310121
423625013,3290110184,1628425
2022087056,123717521,1088577
3396620235,3629549274,1196328
237600428,3692483591,1308339
1534198093,3096227699,870955
2001144509,370428547,1090975
3454485252,2830133723,1632438
2598955925,2995704357,1631425
2058544616,2343274105,979168
1721002316,2542367651,1743757
1538897338,3553036934,983902
1543289768,1592032775,1307891
2426291202,1009275518,1524998
3384302842,1128629982,1742812
2351909462,3635612694,1306835
1770143650,1410315616,762057
1713732254,330288727,1415944
1901306165,3574546687,1847590
2687403977,714524108,981834
2239256504,614740626,1415517
1919433612,1524741822,1634490
1880053302,1813225332,1195829
482485925,1010798013,1743563
1281493535,1623189355,1853394
921656519,1500308542,1743888
3556576310,2468697338,1640468
3585570888,665199642,1201375
955541994,3478399461,870733
1774599174,366092471,871401
238403098,2880127382,1307561
3332579063,3618497307,1525284
2940824666,976288720,764976
832008750,128710239,977456
903617229,1088354136,437390
2385263987,1477177767,1084428
3768626344,1279002214,1092343
1307930448,932515468,871727
2801555088,392164324,1198027
2570106506,3636631395,1195390
866262581,3567531052,1414783
3261723781,3248193996,1413898
515713289,1201427042,980143
3393440775,3439439415,1414184
537461661,737365476,982553
2826777997,3574434620,1310902
1105409222,2124207120,1089036
2506094057,470036589,1090696
708726638,3262469476,1635039
1793180960,3669079975,1524441
3323160463,544577908,1522853
482946694,2738012240,1630722
3023322752,1364236155,762362
2222531463,1825641359,1631910
3167905483,466934749,1200021
2766467782,2270348576,1089177
2095871870,2908867409,1523576
3115400190,2484378271,1197997
180105369,889453793,1527210
2808451558,2458551895,1638758
1993817959,3341946543,1199160
251431988,2729000039,1199377
3323859095,377865249,1089162
1466737377,1029732811,1524658
1128857397,3179586683,761205
3470229994,2856379225,434515
2727317786,132143632,1522771
1683712692,257090509,1742823
1736497947,596330761,1197532
2105565870,2190517971,1308910
1692645836,945308100,1088768
3515771690,1145906423,1630100
921736652,3500319134,1743407
1845575860,231357317,1747099
929648280,1948175098,1415074
3810096843,1302922983,1199602
2472328008,2662243183,1303007
2051886340,3388772353,1198463
415090810,3443713390,869738
1815028846,665135549,1528483
1435097710,3003645477,1639592
3815545014,2205558624,1091415
2710269521,1897926706,1093868
1331560573,2396367295,1743156
960588131,1744369939,1519539
3834654727,3312833762,1085806
1616103056,2462788251,1527249
2272652450,1369388277,1307840
534143352,3471380597,1198225
1290119818,2204426343,1853980
2101209622,2496959141,982455
1237688246,2150313475,1306772
3420290047,3268662984,1197426
865839988,438441918,1634190
685170143,1192683561,1302091
3096352738,2862316354,1196604
3217947797,343475076,1312997
1475139264,53116576,1743739
2495733337,1002091226,1632619
2274346993,1507545488,870000
1557049405,1141802658,1195709
